total_txn_amount,avg_txn_amount,std_txn_amount,txn_count,max_txn_amount,min_txn_amount,burst_score,time_to_first_outbound_minutes,fund_exit_ratio,txn_velocity,distinct_counterparties,counterparty_diversity_score,incoming_sources_count,international_counterparty_flag,pep_flag,high_risk_country_flag,kyc_risk_score,account_age_days,alert_count,historical_sar_flag,sar_worthy,typology_structuring,typology_rapid_movement,typology_funnel_account,typology_trade_based,typology_shell_company,typology_round_tripping
1810650.56,60355.0185,21186.0105,30,60355.0185,29589.22,0.792,382,0.7571,9.271,9,0.3873,42,0,0,0,0.7264,66,4,0,1,0,0,1,0,0,0
106508.81,5071.8481,3508.0718,21,14018.77,5071.8481,0.748,471,0.7195,3.7806,12,0.2367,3,0,0,0,0.7218,290,10,1,1,1,0,0,0,0,0
202873.92,5071.8481,5071.8481,40,6403.63,5071.8481,0.5286,120,0.5808,3.6637,13,0.2367,3,0,0,1,0.7917,281,3,1,1,1,0,0,0,0,0
19640556.05,633566.3242,20091.807,31,633566.3242,266433.25,0.6631,5746,0.9396,1.6088,10,0.5282,11,1,0,1,0.6597,1319,5,1,1,0,0,0,0,0,1
21437151.14,1531225.0813,162271.3857,14,1531225.0813,519687.25,0.3414,5300,0.7975,1.3488,6,0.5912,3,1,0,0,0.8807,400,3,0,1,0,0,0,1,0,0
30112514.31,1771324.3709,240608.3383,17,2074859.49,414728.5,0.4459,5297,0.9089,0.9582,5,0.6778,14,1,0,1,0.849,200,3,1,1,0,0,0,1,0,0
8026570.16,1003321.2698,233390.0076,8,1003321.2698,892584.09,0.3688,5378,0.7797,3.6386,43,0.6754,15,0,0,1,0.579,694,10,0,1,0,0,0,0,1,0
2126604.69,193327.6987,31871.6968,11,285435.93,193327.6987,0.663,88,0.9997,19.95,22,0.8908,5,1,1,0,0.5525,48,4,1,1,0,1,0,0,0,0
1782117.17,22276.4646,22276.4646,80,49648.69,22276.4646,0.8626,173,0.6909,4.3879,22,0.29,40,1,0,0,0.745,223,12,1,1,0,0,1,0,0,0
3143967.35,46234.814,19061.8826,68,202840.39,23044.86,0.8121,128,0.8279,9.1377,8,0.2155,6,1,1,0,0.6312,286,3,0,1,1,0,0,0,0,0
3456562.74,246897.3384,64213.7652,14,590425.09,246897.3384,0.3029,9916,0.892,2.6774,26,0.4609,2,1,0,1,0.8239,426,3,0,1,0,0,0,1,0,0
3512274.97,54879.2964,5800.4725,64,54879.2964,28445.88,0.5453,300,0.6058,9.3439,7,0.261,3,0,0,1,0.6594,189,3,1,1,1,0,0,0,0,0
19584164.57,699434.4491,145594.6807,28,699434.4491,699434.4491,0.3688,4891,0.7006,1.1368,60,0.4138,12,1,1,1,0.5688,1254,10,1,1,0,0,0,0,1,0
455093.75,41372.1588,40107.1452,11,103379.69,41372.1588,0.9398,89,0.94,19.95,13,0.571,10,1,1,1,0.7051,48,10,0,1,0,1,0,0,0,0
228233.16,5071.8481,3763.5076,45,6403.63,5071.8481,0.6146,600,0.8279,4.92,10,0.3391,7,0,1,1,0.7917,35,3,0,1,1,0,0,0,0,0
1330013.38,35946.3077,24548.7076,37,35946.3077,35946.3077,0.535,553,0.6635,3.6637,12,0.1452,3,1,1,0,0.7408,482,4,0,1,1,0,0,0,0,0
16053140.32,1003321.2698,158985.6686,16,1003321.2698,372470.96,0.5103,4274,0.8469,1.395,44,0.6083,19,1,1,1,0.723,1528,8,1,1,0,0,0,0,1,0
3710592.0,742118.3995,64213.7652,5,2556749.2,742118.3995,0.3206,6880,0.7531,2.1206,22,0.4447,8,1,1,1,0.6388,200,8,0,1,0,0,0,1,0,0
4153327.21,106495.5696,27499.9071,39,106495.5696,106495.5696,0.4956,183,0.9429,4.3879,22,0.4389,38,0,0,0,0.7217,476,5,0,1,0,0,1,0,0,0
2791973.07,253815.7332,43121.4415,11,305078.17,152071.18,0.8717,17,0.9594,6.2978,9,0.4654,12,0,0,0,0.5525,214,4,0,1,0,1,0,0,0,0
1187705.63,107973.2387,24854.0957,11,461234.41,44761.99,0.8378,40,0.8595,19.95,12,0.5643,11,0,1,0,0.5525,304,10,0,1,0,1,0,0,0,0
22302347.57,857782.599,399916.8527,26,2005460.32,857782.599,0.3817,5901,0.9127,0.5447,21,0.318,8,1,0,1,0.8807,958,6,0,1,0,0,0,1,0,0
8761685.12,219042.1281,37917.6413,40,317600.42,25001.48,0.987,8,0.9392,9.9296,26,0.6659,15,1,0,0,0.6196,48,4,0,1,0,1,0,0,0,0
8026570.16,1003321.2698,257697.5935,8,1003321.2698,892584.09,0.6318,1122,0.7483,2.8836,60,0.4138,5,1,0,1,0.5688,1338,7,0,1,0,0,0,0,1,0
1521967.12,50732.2374,12776.7076,30,80600.62,50732.2374,0.8309,325,0.6425,10.551,12,0.2639,49,0,0,1,0.5473,490,6,1,1,0,0,1,0,0,0
84342.77,21085.6928,635.3085,4,21085.6928,16777.44,0.0501,21622,0.2104,1.9175,5,0.0452,3,0,0,0,0.3937,1516,2,0,0,0,0,0,0,0,0
152155.44,5071.8481,5071.8481,30,39455.2,5071.8481,0.8121,120,0.5287,3.6637,14,0.1452,3,0,1,0,0.7917,328,3,1,1,1,0,0,0,0,0
20066425.4,1003321.2698,138805.8797,20,1003321.2698,509369.63,0.5447,7985,0.9184,2.7138,50,0.4625,6,1,0,1,0.6698,1083,8,1,1,0,0,0,0,1,0
14939088.69,481906.0868,65657.4492,31,481906.0868,422477.72,0.506,10918,0.9513,1.6088,8,0.309,12,1,0,1,0.5985,951,9,1,1,0,0,0,0,0,1
5293549.34,294086.0747,99134.6579,18,431718.2,4538.54,0.6642,4845,0.7336,1.4642,23,0.6103,16,1,0,0,0.5688,2026,6,0,1,0,0,0,0,1,0
248520.56,5071.8481,3830.2376,49,6403.63,5071.8481,0.6838,475,0.5615,3.6637,12,0.2584,3,0,0,0,0.6618,481,3,0,1,1,0,0,0,0,0
40542197.68,1501562.8769,170620.9335,27,1501562.8769,12344.87,0.3873,9916,0.7979,2.6774,21,0.318,10,1,0,1,0.8284,365,5,0,1,0,0,0,1,0,0
7049372.63,111894.8036,13296.8519,63,111894.8036,87739.05,0.7287,191,0.8766,6.5311,32,0.2568,41,1,1,0,0.8603,572,3,1,1,0,0,1,0,0,0
2197303.9,199754.9003,34041.5638,11,199754.9003,199754.9003,0.8307,68,0.925,19.95,26,0.7461,20,1,1,1,0.6033,475,4,1,1,0,1,0,0,0,0
12556158.61,224217.118,1260.1818,56,224217.118,40353.95,0.4194,120,0.6562,3.6637,10,0.2932,5,1,0,0,0.5765,148,5,1,1,1,0,0,0,0,0
3514761.31,94993.5489,43121.4415,37,107677.5,94993.5489,0.9336,81,0.9005,18.8676,19,0.7961,17,1,0,1,0.776,85,4,0,1,0,1,0,0,0,0
839166.87,22680.1857,5733.4529,37,22680.1857,22680.1857,0.5264,339,0.5608,6.767,9,0.1452,3,0,0,1,0.7917,282,3,0,1,1,0,0,0,0,0
1348269.03,33706.7258,2111.3978,40,49648.69,33706.7258,0.8509,169,0.8485,4.8501,43,0.4205,47,1,1,0,0.6955,603,6,0,1,0,0,1,0,0,0
4529933.21,88822.2198,2111.3978,51,88822.2198,49389.15,0.6314,54,0.8053,4.3879,24,0.3338,48,1,1,1,0.5473,595,3,0,1,0,0,1,0,0,0
4821956.09,89295.4831,6838.2181,54,89295.4831,15971.82,0.5925,552,0.587,4.1771,22,0.1452,3,0,0,0,0.7917,126,7,0,1,1,0,0,0,0,0
17347071.21,826051.0099,497708.5202,21,1850681.39,423572.53,0.3775,4491,0.9127,1.9697,15,0.6778,7,1,1,1,0.8807,553,7,0,1,0,0,0,1,0,0
33109601.9,1003321.2698,257697.5935,33,1003321.2698,791350.97,0.7131,7985,0.885,5.3561,60,0.838,19,1,0,1,0.5836,1938,10,0,1,0,0,0,0,1,0
2946072.36,98202.412,4940.8724,30,98202.412,74861.78,0.8626,293,0.7619,7.7104,36,0.5482,29,1,0,0,0.6361,573,6,0,1,0,0,1,0,0,0
400239.76,30787.6739,635.3085,13,41426.67,13576.72,0.1333,33712,0.4869,1.9831,2,0.2482,4,0,0,0,0.0262,333,2,0,0,0,0,0,0,0,0
2387486.58,30608.8023,3865.8653,78,30608.8023,30608.8023,0.4953,316,0.8279,4.3285,11,0.1452,3,0,0,0,0.7917,318,9,1,1,1,0,0,0,0,0
106508.81,5071.8481,779.7823,21,6403.63,5071.8481,0.668,600,0.732,4.8485,4,0.1452,4,1,0,1,0.6028,482,3,1,1,1,0,0,0,0,0
5554726.15,80503.2776,3677.3714,69,80503.2776,37025.05,0.5499,148,0.6904,6.2368,29,0.6345,25,0,0,0,0.8295,603,9,0,1,0,0,1,0,0,0
213017.62,5071.8481,5071.8481,42,18075.04,5071.8481,0.5474,120,0.8279,8.4201,11,0.1452,3,0,0,1,0.7917,382,4,1,1,1,0,0,0,0,0
18267151.43,1660650.1296,137305.4959,11,2124832.26,541410.27,0.3817,5594,0.8742,1.5458,21,0.528,7,1,0,1,0.8644,200,3,0,1,0,0,0,1,0,0
1503527.66,71596.5551,24548.7076,21,71596.5551,12840.42,0.647,120,0.6829,3.6637,14,0.2049,3,0,0,1,0.5749,482,4,0,1,1,0,0,0,0,0
15555858.08,1296321.507,64213.7652,12,3157121.88,1296321.507,0.3747,5873,0.7786,2.1313,16,0.4171,5,1,0,1,0.8807,487,7,0,1,0,0,0,1,0,0
3154345.21,80880.6465,24548.7076,39,80880.6465,3035.06,0.8121,141,0.8279,3.6637,11,0.3193,5,1,0,0,0.7917,105,3,1,1,1,0,0,0,0,0
2050649.18,31548.449,17324.607,65,31548.449,9329.9,0.7108,188,0.8034,5.5104,11,0.2345,3,0,0,0,0.7917,260,3,0,1,1,0,0,0,0,0
4216778.84,136025.124,1537.7653,31,136025.124,9290.57,0.7123,335,0.7501,3.6637,10,0.1972,3,0,0,0,0.664,451,8,1,1,1,0,0,0,0,0
1903119.3,41372.1588,37099.8571,46,148224.84,41372.1588,0.8763,25,0.8591,19.95,18,0.8908,5,1,0,0,0.7717,540,13,0,1,0,1,0,0,0,0
293715.95,9178.6233,8730.571,32,21049.13,9178.6233,0.5595,225,0.8279,3.7868,3,0.3231,3,0,0,0,0.7917,277,5,0,1,1,0,0,0,0,0
6666228.14,246897.3384,246897.3384,27,590425.09,246897.3384,0.3337,1897,0.6039,0.5447,13,0.4829,5,1,1,1,0.69,541,6,1,1,0,0,0,1,0,0
20116399.6,648916.116,20091.807,31,648916.116,243939.98,0.5681,6701,0.9819,4.9727,11,0.5022,11,1,0,1,0.6198,1651,9,0,1,0,0,0,0,0,1
7393934.11,352092.1003,64213.7652,21,1372239.54,276283.26,0.592,9916,0.8647,1.9815,11,0.4236,9,1,0,1,0.7977,200,6,1,1,0,0,0,1,0,0
3127624.98,54870.6136,8214.9189,57,94015.43,54870.6136,0.8626,188,0.6179,4.3879,31,0.5031,33,0,0,0,0.7599,603,3,1,1,0,0,1,0,0,0
17056461.59,1003321.2698,76061.8169,17,1003321.2698,892584.09,0.4609,2392,0.7478,1.1368,60,0.4725,19,1,0,1,0.5688,693,7,1,1,0,0,0,0,1,0
6929033.16,247465.47,20091.807,28,995864.65,247465.47,0.7159,4215,0.9819,2.289,28,0.5336,9,1,1,1,0.8847,1703,7,0,1,0,0,0,0,0,1
6638620.67,553218.3888,257697.5935,12,553218.3888,553218.3888,0.4494,6934,0.8275,3.1391,19,0.5693,19,0,0,1,0.7222,378,8,0,1,0,0,0,0,1,0
555472.15,42728.6266,6663.8279,13,63446.53,39810.35,0.2539,39301,0.4869,0.3904,3,0.01,2,0,0,1,0.005,3433,2,0,0,0,0,0,0,0,0
18581062.44,807872.28,20091.807,23,807872.28,604525.21,0.602,10308,0.9569,2.0853,39,0.309,3,1,0,1,0.724,1703,8,0,1,0,0,0,0,0,1
197802.08,5071.8481,4083.2712,39,6403.63,5071.8481,0.8121,287,0.5231,7.0615,4,0.2006,3,0,0,1,0.7917,190,10,0,1,1,0,0,0,0,0
609630.8,55420.982,17752.6132,11,336153.64,55420.982,0.9025,5,0.9191,19.95,14,0.5042,8,1,1,0,0.5525,51,8,0,1,0,1,0,0,0,0
8026570.16,1003321.2698,219170.9011,8,1003321.2698,430133.95,0.6427,1576,0.8415,3.3188,59,0.8416,19,1,1,1,0.8108,1642,10,1,1,0,0,0,0,1,0
7336125.04,244537.5012,5072.4974,30,244537.5012,23405.64,0.777,120,0.8279,4.4016,7,0.172,5,1,0,0,0.7917,229,3,0,1,1,0,0,0,0,0
1666792.96,151526.6329,41379.2793,11,151526.6329,151526.6329,0.7833,151,0.9189,19.95,29,0.4654,21,1,0,1,0.6093,145,4,0,1,0,1,0,0,0,0
3023560.42,100785.3472,2111.3978,30,100785.3472,23954.84,0.6742,54,0.6913,4.3879,22,0.2568,27,1,0,0,0.7007,603,3,1,1,0,0,1,0,0,0
8133577.96,123236.0297,2111.3978,66,300183.72,13614.93,0.48,199,0.6292,4.3879,15,0.4327,35,1,0,1,0.7925,603,3,0,1,0,0,1,0,0,0
1902871.64,172988.3313,43069.3108,11,172988.3313,172988.3313,0.7292,5,0.7207,17.338,9,0.6203,18,1,0,0,0.5525,48,6,0,1,0,1,0,0,0,0
8026570.16,1003321.2698,94481.1244,8,1003321.2698,577851.22,0.5443,6110,0.7006,1.1368,60,0.5527,19,1,0,1,0.6374,1132,10,1,1,0,0,0,0,1,0
3298140.22,82453.5054,22003.9695,40,116883.41,81721.98,0.6107,330,0.8126,9.6825,9,0.4157,44,0,0,0,0.6746,67,4,1,1,0,0,1,0,0,0
30099638.09,1003321.2698,174501.5194,30,1003321.2698,221417.91,0.6087,865,0.7448,2.0399,60,0.4685,12,1,0,1,0.5688,1293,9,0,1,0,0,0,0,1,0
16258467.19,812923.3594,59875.5676,20,812923.3594,488399.9,0.506,1962,0.9819,1.6088,39,0.309,6,1,0,1,0.6408,1703,9,1,1,0,0,0,0,0,1
907707.78,90770.7779,90770.7779,10,314500.55,90770.7779,0.7131,7395,0.9132,1.1368,16,0.5028,18,0,0,1,0.6225,1497,10,0,1,0,0,0,0,1,0
870955.79,79177.7987,32424.7141,11,559336.77,79177.7987,0.8593,5,0.9643,19.95,18,0.6889,8,0,1,0,0.5525,201,4,1,1,0,1,0,0,0,0
22761854.06,812923.3594,78459.2452,28,834244.07,529359.95,0.506,6483,0.9117,3.7898,17,0.3611,9,1,1,1,0.8847,1260,3,1,1,0,0,0,0,0,1
7322375.66,192694.0963,37858.5284,38,192694.0963,192694.0963,0.987,80,0.9487,19.95,12,0.4654,17,1,1,0,0.5525,48,7,1,1,0,1,0,0,0,0
767785.95,69798.7228,41381.5498,11,331478.23,69798.7228,0.987,40,0.892,16.3701,9,0.5176,9,1,0,1,0.7497,48,9,0,1,0,1,0,0,0,0
47295.97,3638.1516,635.3085,13,63446.53,3638.1516,0.0616,39301,0.4869,0.5608,2,0.1127,2,0,0,0,0.3422,1027,2,0,0,0,0,0,0,0,0
54967.1,4228.2383,894.1358,13,63446.53,163.93,0.0501,39301,0.4594,0.5395,5,0.0502,4,0,0,0,0.3849,1357,2,1,0,0,0,0,0,0,0
457199.47,41563.5882,1794.8596,11,63446.53,163.93,0.0718,13446,0.408,1.3472,2,0.0143,3,0,0,0,0.1498,2728,2,1,0,0,0,0,0,0,0
5976263.67,747032.9593,130569.2133,8,1276576.3,251904.15,0.514,1312,0.7006,5.0368,60,0.5632,19,1,0,1,0.737,1261,10,1,1,0,0,0,0,1,0
1341236.3,55884.8459,14832.2291,24,55884.8459,15601.88,0.7631,583,0.8279,3.6637,9,0.2379,19,1,0,0,0.7917,218,3,0,1,1,0,0,0,0,0
1136932.95,81209.4965,30289.6613,14,225210.94,48219.51,0.6549,18,0.7102,18.8331,15,0.5259,3,0,1,0,0.6009,48,4,1,1,0,1,0,0,0,0
1403127.78,127557.0708,43121.4415,11,127557.0708,48534.92,0.8453,116,0.9513,11.7417,9,0.8908,4,1,0,0,0.9009,48,4,0,1,0,1,0,0,0,0
1920096.19,320016.0319,320016.0319,6,1315082.39,320016.0319,0.3029,8425,0.7683,1.505,14,0.3508,9,1,0,1,0.8807,1068,5,0,1,0,0,0,1,0,0
620582.38,41372.1588,15288.4887,15,513791.3,7221.69,0.8585,58,0.8598,18.3911,9,0.6841,6,1,1,0,0.5838,137,7,0,1,0,1,0,0,0,0
5058559.07,194559.9641,6968.0195,26,194559.9641,29584.35,0.8121,219,0.8184,4.5072,5,0.1452,6,0,0,0,0.7917,482,3,0,1,1,0,0,0,0,0
7032504.22,413676.7186,136571.6376,17,711890.71,413676.7186,0.4798,6406,0.8437,1.6623,52,0.4138,19,1,0,1,0.9003,1909,9,1,1,0,0,0,0,1,0
10325627.82,103256.2782,7277.4239,100,103256.2782,37323.02,0.5509,54,0.7447,4.3879,15,0.4013,28,0,1,0,0.6283,603,4,1,1,0,0,1,0,0,0
5855940.65,58559.4065,2111.3978,100,58559.4065,29897.79,0.5408,54,0.8482,4.3879,27,0.2568,46,0,0,0,0.8204,603,3,0,1,0,0,1,0,0,0
711667.51,17357.7441,229.1996,41,17357.7441,8682.22,0.6936,329,0.7496,3.6637,9,0.1665,3,0,0,0,0.7917,35,9,0,1,1,0,0,0,0,0
5135287.53,244537.5012,5474.6251,21,244537.5012,30769.45,0.638,600,0.8279,7.4796,5,0.2845,5,0,0,1,0.7755,482,4,1,1,1,0,0,0,0,0
16258467.19,812923.3594,20091.807,20,812923.3594,618876.37,0.506,1962,0.8741,1.6088,17,0.5894,6,1,0,1,0.6163,1703,9,1,1,0,0,0,0,0,1
153921.6,12826.7998,6088.2126,12,63446.53,12826.7998,0.2816,39301,0.2482,0.4987,5,0.1584,4,0,0,0,0.394,1213,2,0,0,0,0,0,0,0,0
19063104.13,1003321.2698,50784.0561,19,1003321.2698,892584.09,0.588,4034,0.7644,2.4898,19,0.4138,19,1,1,1,0.8935,1769,8,1,1,0,0,0,0,1,0
20066425.4,1003321.2698,23281.8649,20,1003321.2698,720787.55,0.3986,6485,0.7469,1.1368,12,0.4138,19,1,0,0,0.6629,1140,10,1,1,0,0,0,0,1,0
830737.53,75521.5938,30949.0814,11,183486.09,75521.5938,0.7234,69,0.8853,19.95,34,0.4654,17,0,1,0,0.5979,48,4,0,1,0,1,0,0,0,0
23910780.64,1039599.1581,470096.4527,23,1039599.1581,1039599.1581,0.5705,5576,0.6028,0.5447,7,0.5207,2,1,0,1,0.8807,902,2,0,1,0,0,0,1,0,0
136939.9,5071.8481,218.3038,27,6403.63,5071.8481,0.8121,443,0.6189,7.6034,2,0.1452,3,0,1,0,0.781,205,10,1,1,1,0,0,0,0,0
2018758.7,183523.518,43121.4415,11,183523.518,50351.44,0.7725,5,0.7102,19.95,21,0.6836,32,1,1,0,0.5525,48,4,0,1,0,1,0,0,0,0
2724031.59,247639.2353,26933.6054,11,247639.2353,247639.2353,0.8301,65,0.9163,17.9215,9,0.518,20,1,1,1,0.8214,260,4,1,1,0,1,0,0,0,0
907354.7,43207.3668,4667.8721,21,43207.3668,43207.3668,0.6445,168,0.7589,6.5755,13,0.1452,5,0,0,0,0.6319,390,9,0,1,1,0,0,0,0,0
3911917.51,115056.3974,2111.3978,34,115056.3974,115056.3974,0.7044,275,0.8166,8.3204,9,0.2568,49,1,0,0,0.8309,603,3,0,1,0,0,1,0,0,0
601301.54,46253.9643,9113.2707,13,63446.53,6860.47,0.0731,16552,0.4869,1.1447,5,0.0657,2,0,0,1,0.2118,333,2,0,0,0,0,0,0,0,0
1576293.23,54354.9388,5556.3381,29,54354.9388,54354.9388,0.8083,600,0.7205,3.6637,9,0.23,7,0,0,1,0.7764,223,11,0,1,1,0,0,0,0,0
9334085.2,109812.767,2338.4359,85,109812.767,80562.24,0.6472,54,0.7831,5.9763,16,0.2568,49,1,0,1,0.8437,578,3,1,1,0,0,1,0,0,0
5627657.55,89327.8976,13810.8827,63,89327.8976,9911.98,0.8626,432,0.9041,11.9205,12,0.4966,17,1,0,0,0.7946,400,6,0,1,0,0,1,0,0,0
678169.58,32293.7895,5801.8618,21,32293.7895,15534.11,0.8121,482,0.6505,3.6637,7,0.2094,3,1,0,0,0.7781,345,4,0,1,1,0,0,0,0,0
2222076.05,246897.3384,232414.4801,9,590425.09,246897.3384,0.3029,9916,0.8202,0.5447,24,0.318,2,1,1,1,0.8807,237,8,0,1,0,0,0,1,0,0
21983685.96,709151.16,87110.6618,31,995864.65,468223.39,0.7904,1962,0.9819,2.6739,21,0.5178,3,1,0,1,0.7216,1332,9,0,1,0,0,0,0,0,1
5008992.96,139138.6932,3252.8755,36,139138.6932,5313.42,0.592,120,0.8279,4.3352,2,0.1452,7,0,1,0,0.7917,298,11,0,1,1,0,0,0,0,0
7580662.54,244537.5012,6427.5236,31,244537.5012,19007.28,0.6481,320,0.7532,3.8634,14,0.4558,3,1,0,0,0.6256,322,6,0,1,1,0,0,0,0,0
22027173.39,710553.9803,20091.807,31,710553.9803,360862.51,0.6396,11960,0.9347,1.6088,37,0.4138,5,1,0,1,0.8847,191,9,0,1,0,0,0,0,0,1
2725946.75,151441.4863,37461.784,18,867553.86,151441.4863,0.6174,9890,0.9819,2.6135,24,0.4522,6,1,0,0,0.7775,1703,8,0,1,0,0,0,0,0,1
27757054.52,1734815.9076,224215.4685,16,1734815.9076,114582.84,0.592,4119,0.8275,2.6774,18,0.4053,6,1,0,1,0.8807,1357,8,0,1,0,0,0,1,0,0
3853968.23,550566.8893,239130.7693,7,590425.09,550566.8893,0.5459,6534,0.9127,2.6774,27,0.318,6,1,1,0,0.5991,200,8,0,1,0,0,0,1,0,0
549813.89,49983.0806,43121.4415,11,126856.66,7221.69,0.6254,40,0.9165,11.8036,31,0.5331,10,0,1,1,0.8904,48,10,0,1,0,1,0,0,0,0
2492612.0,71217.4857,2111.3978,35,77507.26,14856.75,0.69,218,0.8926,7.5732,20,0.2568,17,1,1,0,0.8346,603,8,0,1,0,0,1,0,0,0
1923699.43,174881.7662,43121.4415,11,189590.0,103967.53,0.7304,171,0.7789,19.115,31,0.7148,10,1,0,1,0.7397,48,4,0,1,0,1,0,0,0,0
579210.22,41372.1588,41372.1588,14,58841.85,41372.1588,0.881,201,0.7102,19.95,39,0.4654,18,1,0,0,0.5525,149,14,1,1,0,1,0,0,0,0
3875978.82,50337.3873,25387.4032,77,50337.3873,50337.3873,0.7954,173,0.7997,10.1289,43,0.6512,49,1,0,0,0.7224,430,3,0,1,0,0,1,0,0,0
2283655.83,76121.861,9304.528,30,76121.861,76121.861,0.8154,160,0.719,4.8141,9,0.4337,36,1,1,1,0.7043,435,3,0,1,0,0,1,0,0,0
3767049.11,313920.7589,20091.807,12,469286.61,2913.67,0.6305,1962,0.9709,3.8156,16,0.309,5,1,0,1,0.5742,1703,4,0,1,0,0,0,0,0,1
8453428.53,228471.0413,26530.1224,37,228471.0413,97446.17,0.7264,184,0.604,4.3879,13,0.5454,44,0,0,0,0.6989,603,8,1,1,0,0,1,0,0,0
1106892.63,100626.603,39829.7366,11,308862.72,100626.603,0.9654,60,0.9228,15.5593,17,0.8545,8,0,0,0,0.6574,149,5,1,1,0,1,0,0,0,0
537838.06,41372.1588,41372.1588,13,548959.8,41372.1588,0.8082,90,0.9144,15.306,10,0.543,19,1,0,1,0.9274,48,6,0,1,0,1,0,0,0,0
3944303.46,358573.0421,43121.4415,11,358573.0421,7221.69,0.8992,100,0.94,10.4253,14,0.8382,30,1,0,0,0.5952,256,4,0,1,0,1,0,0,0,0
17775589.01,807981.3187,20091.807,22,877851.63,225143.91,0.6963,6508,0.9819,3.0272,20,0.309,3,1,0,0,0.731,721,6,0,1,0,0,0,0,0,1
4351120.44,120864.4567,6641.9191,36,120864.4567,52571.04,0.6966,125,0.6551,4.6678,7,0.3029,3,0,0,0,0.5763,175,6,1,1,1,0,0,0,0,0
12217054.86,814470.324,182389.0573,15,1645544.67,814470.324,0.3029,1897,0.7281,2.6774,12,0.318,3,1,0,1,0.6803,200,8,1,1,0,0,0,1,0,0
16053140.32,1003321.2698,257697.5935,16,1003321.2698,825254.5,0.3688,5222,0.928,5.4144,34,0.7819,8,1,0,0,0.878,1029,9,1,1,0,0,0,0,1,0
31632.83,10544.2777,635.3085,3,11154.26,3451.93,0.1311,3059,0.3751,1.5211,5,0.1257,3,0,0,0,0.394,988,2,0,0,0,0,0,0,0,0
6685973.39,230550.8066,6430.4332,29,230550.8066,3035.06,0.8121,325,0.7049,4.0393,12,0.1452,3,0,0,0,0.7917,275,7,1,1,1,0,0,0,0,0
2305622.28,67812.4201,2111.3978,34,67812.4201,41107.17,0.686,54,0.6347,4.3879,35,0.2568,49,1,1,0,0.796,332,3,0,1,0,0,1,0,0,0
2293670.02,76455.6675,15476.5583,30,102917.62,76455.6675,0.8626,315,0.7919,9.794,12,0.7312,36,0,1,1,0.7107,66,6,1,1,0,0,1,0,0,0
20066425.4,1003321.2698,144058.8269,20,1003321.2698,892584.09,0.7131,2739,0.9008,2.9539,43,0.4138,3,1,0,1,0.6483,737,8,1,1,0,0,0,0,1,0
1099240.57,33310.3202,4348.6473,33,33310.3202,33310.3202,0.6286,120,0.7414,4.0017,12,0.2813,12,1,0,0,0.7917,156,3,0,1,1,0,0,0,0,0
1752276.52,159297.8657,43121.4415,11,577618.44,159297.8657,0.972,58,0.8965,8.0669,9,0.4987,15,1,0,0,0.6461,229,8,0,1,0,1,0,0,0,0
17121576.84,778253.4928,497708.5202,22,778253.4928,730819.48,0.5672,8124,0.7548,0.5447,21,0.3846,10,1,1,0,0.7749,200,7,0,1,0,0,0,1,0,0
3684720.61,118861.9552,2210.8978,31,118861.9552,40626.21,0.6526,145,0.604,4.3879,27,0.4044,35,1,0,1,0.8534,470,5,1,1,0,0,1,0,0,0
455093.75,41372.1588,41372.1588,11,256946.22,7221.69,0.8629,62,0.9309,19.95,22,0.8908,18,0,0,1,0.7346,48,7,0,1,0,1,0,0,0,0
467438.47,13355.3849,218.3038,35,13355.3849,13355.3849,0.7596,240,0.766,3.8693,2,0.5334,5,0,0,1,0.7822,116,11,0,1,1,0,0,0,0,0
10013445.14,158943.5736,24548.7076,63,158943.5736,16364.0,0.8063,195,0.8279,4.4866,11,0.1452,3,0,0,1,0.7917,418,5,1,1,1,0,0,0,0,0
1067604.54,50838.3112,7958.3049,21,50838.3112,50838.3112,0.4054,196,0.8279,3.6637,5,0.1452,3,0,1,1,0.7917,482,3,1,1,1,0,0,0,0,0
1794367.27,49843.5354,19879.6639,36,49843.5354,49843.5354,0.7202,244,0.6504,11.0158,14,0.4759,35,0,0,0,0.7365,486,5,0,1,0,0,1,0,0,0
11330020.82,809287.2017,286637.1032,14,809287.2017,99461.12,0.5,8222,0.804,2.4244,27,0.3317,14,1,1,1,0.5508,257,7,0,1,0,0,0,1,0,0
26086353.01,1003321.2698,70077.7044,26,1003321.2698,566744.46,0.426,5498,0.7918,1.5667,60,0.6961,19,1,1,1,0.6633,1336,10,0,1,0,0,0,0,1,0
9878100.75,705578.6252,257502.8281,14,1350856.21,245133.27,0.7131,7405,0.8898,3.4892,35,0.4594,19,1,0,1,0.5688,1342,7,1,1,0,0,0,0,1,0
836976.56,39856.0269,24548.7076,21,39856.0269,27082.12,0.8121,195,0.565,4.4771,2,0.1452,3,0,0,0,0.7609,482,3,1,1,1,0,0,0,0,0
9851823.96,98518.2396,5373.7552,100,98518.2396,48241.3,0.6843,92,0.9429,4.9032,17,0.6429,49,1,0,1,0.6945,558,7,0,1,0,0,1,0,0,0
562430.18,51130.0168,43121.4415,11,97835.79,7221.69,0.8172,20,0.8831,10.136,13,0.64,11,0,0,1,0.6358,388,4,1,1,0,1,0,0,0,0
12061095.03,430753.3939,58194.167,28,430753.3939,80358.44,0.61,9609,0.9819,1.6088,25,0.309,4,1,0,1,0.6788,1703,7,1,1,0,0,0,0,0,1
